Date,URI US Equity,AGCO US Equity,ATKR US Equity,CNHI US Equity ,TEX US Equity,PCAR US Equity,RS US Equity,CMI US Equity,GTES US Equity,KMT US Equity,MMM US Equity,AYI US Equity,CAT US Equity,DE US Equity,FLS US Equity,JCI US Equity,CARR US Equity,DOV US Equity,NVT US Equity,ALLE US Equity,LII US Equity,PH US Equity,GWW US Equity,HUBB US Equity,HON US Equity,IR US Equity,TT US Equity,ETN US Equity,FTV US Equity,OTIS US Equity,EMR US Equity,SWK US Equity,ITW US Equity,FAST US Equity,ROK US Equity,KNX US Equity,WERN US Equity
9/30/2018,10.168,14.287,9.547,13.778,11.783,11.192,9.607,9.925,16.898,13.864,19.912,16.007,12.583,13.448,28.032,11.8,#N/A N/A,17.025,15.006,19.461,21.981,16.105,21.479,17.408,18.908,15.123,13.596,15.496,19.672,#N/A N/A,21.541,17.194,17.961,21.779,21.453,13.982,15.075
10/31/2018,6.853,12.841,6.763,11.141,9.379,9.208,9.5,8.933,12.521,10.948,18.155,13.231,9.773,12.138,22.412,10.65,#N/A N/A,15.355,13.286,17.673,20.245,13.088,16.46,13.556,18.526,14.182,12.282,12.503,17.608,#N/A N/A,18.048,13.943,16.13,18.722,18.21,12.251,13.032
11/30/2018,6.611,13.735,6.678,10.35,10.132,9.978,9.665,9.762,12.368,12.996,19.849,13.692,10.852,13.457,23.652,18.162,#N/A N/A,15.735,13.613,18.881,21.722,14.864,18.197,14.684,19.002,13.04,13.224,13.453,18.086,#N/A N/A,18.473,15.635,17.583,21.58,19.311,13.321,13.775
12/31/2018,5.535,12.893,6.463,9.827,8.444,9.168,8.564,8.645,10.988,10.342,18.2,11.451,10.188,12.954,18.474,16.372,#N/A N/A,13.198,12.246,16.425,19.346,12.885,16.358,13.259,17.07,10.93,11.656,12.008,16.215,#N/A N/A,16.361,14.313,16.051,19.028,16.677,9.639,12.018
1/31/2019,6.577,13.923,7.72,10.333,9.001,10.21,10.182,9.574,11.986,11.388,18.852,12.584,10.747,14.271,20.725,17.398,#N/A N/A,15.304,13.672,17.37,18.758,13.976,16.499,14.065,18.388,13.437,12.301,13.03,17.844,#N/A N/A,17.449,14.816,17.198,21.259,18.62,11.639,13.339
2/28/2019,7.05,14.58,7.352,10.862,8.722,10.536,10.536,9.936,12.788,11.618,19.517,13.543,11.13,14.241,20.889,18.022,#N/A N/A,15.797,14.64,18.495,19.609,14.866,16.935,14.652,19.341,14.521,13.011,13.62,19.404,#N/A N/A,18.484,15.538,18.158,22.007,19.637,12.337,13.169
3/31/2019,6.015,15.005,6.629,10.149,8.304,10.596,10.579,10.178,11.454,11.329,19.747,12.144,10.977,13.885,21.222,18.934,#N/A N/A,16.373,14.359,18.653,21.194,14.49,16.722,14.64,19.912,15.441,13.306,13.754,19.86,#N/A N/A,18.561,15.939,18.09,22.486,19.347,12.041,13
4/30/2019,7.417,14.74,7.553,10.71,8.522,11.328,11.35,10.74,12.612,12.233,19.477,15.007,11.12,14.44,21.81,17.891,#N/A N/A,16.623,15.24,19.966,22.288,14.995,15.472,15.487,20.922,18.126,14.695,13.91,18.919,#N/A N/A,18.608,16.565,19.323,24.046,19.557,12.594,12.796
5/31/2019,5.809,13.46,7.179,8.558,6.755,10.226,9.755,9.639,9.377,9.347,16.622,12.326,9.57,13.317,20.553,17.181,#N/A N/A,15.167,12.574,19.527,21.675,12.768,14.355,13.853,19.765,18.737,14.185,12.438,16.765,#N/A N/A,16.124,14.506,17.347,20.952,16.13,10.45,10.682
6/30/2019,6.995,15.782,7.636,10.182,7.909,11.144,11.309,10.945,9.548,11.427,18.158,13.418,10.934,15.645,23.366,18.434,#N/A N/A,16.997,13.517,22.243,22.656,14.253,14.767,15.749,21.01,19.265,15.184,13.912,17.914,#N/A N/A,17.926,16.491,18.786,22.522,17.958,12.549,12.005
7/31/2019,6.731,14.978,7.86,10.002,8.71,11.251,12.358,11.147,8.862,10.752,17.686,13.212,10.732,15.701,21.362,17.161,#N/A N/A,16.305,13.569,20.314,21.4,14.535,15.928,15.477,20.093,18.145,14.265,13.701,17.007,#N/A N/A,16.949,16.741,19.3,21.584,18.478,15.29,13.894
8/31/2019,5.986,13.369,8.047,10.497,7.143,10.519,11.964,10.18,9.581,10.536,16.392,12.345,9.778,14.629,18.286,17.235,#N/A N/A,15.574,10.828,18.899,21.175,13.944,15.018,15.685,19.18,18.42,13.991,13.462,16.01,#N/A N/A,16.092,15.084,18.784,21.503,17.66,14.503,13.789
9/30/2019,6.572,14.411,8.426,10.299,7.538,11.387,12.284,11.066,11.561,10.885,16.788,13.088,10.448,15.868,20.047,17.719,#N/A N/A,16.533,12.396,20.383,20.319,15.177,16.318,15.725,20.005,18.299,14.234,14.001,15.411,#N/A N/A,18.061,16.502,19.804,23.187,19.556,15.5,14.97
