Date,URI US Equity,AGCO US Equity,ATKR US Equity,CNHI US Equity ,TEX US Equity,PCAR US Equity,RS US Equity,CMI US Equity,GTES US Equity,KMT US Equity,MMM US Equity,AYI US Equity,CAT US Equity,DE US Equity,FLS US Equity,JCI US Equity,CARR US Equity,DOV US Equity,NVT US Equity,ALLE US Equity,LII US Equity,PH US Equity,GWW US Equity,HUBB US Equity,HON US Equity,IR US Equity,TT US Equity,ETN US Equity,FTV US Equity,OTIS US Equity,EMR US Equity,SWK US Equity,ITW US Equity,FAST US Equity,ROK US Equity,KNX US Equity,WERN US Equity
8/31/2016,10.216,21.049,13.032,17.981,21.506,15.608,13.706,15.561,#N/A N/A,22.19,21.129,29.666,23.163,22.888,19.21,18.056,#N/A N/A,16.193,#N/A N/A,20.227,22.76,18.051,19.408,19.362,16.024,#N/A N/A,12.567,14.906,17.553,#N/A N/A,18.536,18.304,20.083,23.844,19.699,13.33,19.76
9/30/2016,9.735,20.969,13.659,18.305,24.108,15.464,13.616,15.975,#N/A N/A,22.941,20.76,27.161,24.529,23.143,19.234,14.888,#N/A N/A,16.461,#N/A N/A,19.582,22.157,18.468,18.902,19.26,16.035,#N/A N/A,12.549,14.704,16.876,#N/A N/A,19.2,18.168,20.233,23.211,20.792,15.442,19.957
10/31/2016,8.989,21.134,13.212,19.957,20.801,15.475,14.612,15.95,#N/A N/A,19.951,19.436,23.45,28.158,24.073,19.276,14.619,#N/A N/A,15.453,#N/A N/A,17.548,19.491,17.785,17.488,18.849,15.108,#N/A N/A,11.981,14.155,16.194,#N/A N/A,18.422,16.501,18.875,21.874,19.733,15.722,21.531
11/30/2016,12.024,23.231,15.074,23.18,37.54,17.624,16.833,17.856,#N/A N/A,23.836,20.25,26.411,32.548,22.919,22.06,16.659,#N/A N/A,16.827,#N/A N/A,18.367,19.865,20.019,19.795,20.37,15.701,#N/A N/A,13.254,15.432,17.457,#N/A N/A,22.832,17.243,20.818,26.51,22.01,17.578,24.304
12/31/2016,12.595,24.6,16.558,23.615,39.71,18.12,15.86,17.18,#N/A N/A,21.455,21.178,22.932,30.597,23.239,22.401,15.273,#N/A N/A,17.435,#N/A N/A,17.587,20.263,20.222,19.961,21.296,16.122,#N/A N/A,13.355,15.613,17.018,#N/A N/A,22.848,16.861,20.359,26.364,22.153,19.949,24.567
1/31/2017,13.934,26.091,17.25,20.504,30.577,19.063,14.369,18.251,#N/A N/A,23.178,20.288,22.435,30.978,23.847,22.654,15.718,#N/A N/A,17.506,#N/A N/A,17.72,20.027,20.728,21.296,21.607,16.067,#N/A N/A,13.744,16.275,17.231,#N/A N/A,23.408,17.821,20.596,26.941,23.595,18.392,23.693
2/28/2017,14.025,24.565,15.561,20.189,37.503,18.833,15.612,18.409,#N/A N/A,22.012,21.626,23.032,31.06,21.995,26.726,15.212,#N/A N/A,18.07,#N/A N/A,19.758,20.762,21.188,20.907,20.781,16.935,#N/A N/A,13.81,16.263,17.987,#N/A N/A,23.606,18.263,21.347,26.927,24.168,17.672,23.689
3/31/2017,13.57,24.247,15.596,21.116,38.246,18.855,14.589,18.699,#N/A N/A,23.104,22.201,21.341,29.769,21.868,27.812,15.383,#N/A N/A,18.101,#N/A N/A,20.576,21.068,21.65,19.659,21.095,16.987,#N/A N/A,14.151,16.723,18.775,#N/A N/A,23.548,18.817,21.421,27.629,24.97,18.044,22.489
4/30/2017,11.262,22.028,15.33,21.594,32.57,17.487,13.785,17.854,#N/A N/A,19.828,21.663,20.715,24.47,22.215,26.249,14.689,#N/A N/A,16.135,#N/A N/A,20.882,20.661,19.193,18.586,20.569,17.456,#N/A N/A,14.941,16.595,18.966,#N/A N/A,23.06,18.17,21.426,23.516,23.092,23.479,22.599
5/31/2017,11.147,21.125,12.559,21.274,27.85,16.441,12.767,16.463,#N/A N/A,18.189,22.521,19.378,25.037,18.863,25.433,14.756,#N/A N/A,16.878,#N/A N/A,20.763,22.115,18.504,16.875,20.614,17.7,#N/A N/A,15.081,16.408,18.663,#N/A N/A,22.217,18.34,21.83,22.626,23.297,22.909,22.558
6/30/2017,11.611,22.052,13.576,21.1,31.069,17.211,13.536,16.935,#N/A N/A,17.701,22.803,22.282,25.531,18.898,24.17,15.327,#N/A N/A,16.368,#N/A N/A,21.387,22.958,18.749,17.69,20.126,17.754,18.597,15.393,16.472,18.939,#N/A N/A,22.371,18.724,22.11,22.648,23.772,25.348,24.357
7/31/2017,11.809,20.88,12.007,19.452,28.061,16.131,12.921,16.97,#N/A N/A,16.525,22.57,22.14,20.517,19.457,22.939,13.567,#N/A N/A,16.14,#N/A N/A,21.019,20.518,18.574,16.121,20.303,17.715,17.607,13.973,15.863,18.596,#N/A N/A,21.629,18.222,20.88,21.225,23.146,22.373,22.411
